[warn] 北京时间 17:50 处于高峰时段(9-12/14-18)，API 两倍价——冒烟无所谓，放量请换低谷
total=9000 done=50 todo=8987
[460/8987] ok=460 rej=0 flagged=50 calls=472 in_miss=183337 in_hit=702208 out=58973 ≈¥1.190(标准价, 低谷约半)
[470/8987] ok=470 rej=0 flagged=52 calls=482 in_miss=186806 in_hit=717568 out=60367 ≈¥1.215(标准价, 低谷约半)
[480/8987] ok=480 rej=0 flagged=54 calls=492 in_miss=190168 in_hit=732928 out=61660 ≈¥1.240(标准价, 低谷约半)
[490/8987] ok=490 rej=0 flagged=55 calls=503 in_miss=193734 in_hit=749824 out=63025 ≈¥1.267(标准价, 低谷约半)
[500/8987] ok=500 rej=0 flagged=55 calls=513 in_miss=197346 in_hit=765184 out=64439 ≈¥1.293(标准价, 低谷约半)
[510/8987] ok=510 rej=0 flagged=57 calls=523 in_miss=200867 in_hit=780544 out=65656 ≈¥1.317(标准价, 低谷约半)
[520/8987] ok=520 rej=0 flagged=57 calls=535 in_miss=205272 in_hit=798976 out=67307 ≈¥1.348(标准价, 低谷约半)
[530/8987] ok=530 rej=0 flagged=58 calls=545 in_miss=208597 in_hit=814336 out=68489 ≈¥1.372(标准价, 低谷约半)
[540/8987] ok=540 rej=0 flagged=61 calls=556 in_miss=212420 in_hit=831232 out=70021 ≈¥1.401(标准价, 低谷约半)
[550/8987] ok=550 rej=0 flagged=61 calls=566 in_miss=215751 in_hit=846592 out=71222 ≈¥1.425(标准价, 低谷约半)
[560/8987] ok=560 rej=0 flagged=63 calls=576 in_miss=219292 in_hit=861952 out=72439 ≈¥1.449(标准价, 低谷约半)
[570/8987] ok=570 rej=0 flagged=63 calls=586 in_miss=222397 in_hit=877312 out=73690 ≈¥1.473(标准价, 低谷约半)
[580/8987] ok=580 rej=0 flagged=64 calls=597 in_miss=226632 in_hit=894208 out=75116 ≈¥1.501(标准价, 低谷约半)
[590/8987] ok=590 rej=0 flagged=67 calls=607 in_miss=230447 in_hit=909568 out=76524 ≈¥1.528(标准价, 低谷约半)
[600/8987] ok=600 rej=0 flagged=68 calls=617 in_miss=233770 in_hit=924928 out=77817 ≈¥1.553(标准价, 低谷约半)
[610/8987] ok=610 rej=0 flagged=69 calls=627 in_miss=237109 in_hit=940288 out=79000 ≈¥1.576(标准价, 低谷约半)
[620/8987] ok=620 rej=0 flagged=70 calls=637 in_miss=240659 in_hit=955648 out=80359 ≈¥1.602(标准价, 低谷约半)
[630/8987] ok=630 rej=0 flagged=71 calls=647 in_miss=244016 in_hit=971008 out=81651 ≈¥1.627(标准价, 低谷约半)
[640/8987] ok=640 rej=0 flagged=72 calls=657 in_miss=247306 in_hit=986368 out=82837 ≈¥1.650(标准价, 低谷约半)
[650/8987] ok=650 rej=0 flagged=73 calls=667 in_miss=250956 in_hit=1001728 out=84096 ≈¥1.676(标准价, 低谷约半)
[660/8987] ok=660 rej=0 flagged=75 calls=677 in_miss=254229 in_hit=1017088 out=85320 ≈¥1.700(标准价, 低谷约半)
[670/8987] ok=670 rej=0 flagged=76 calls=687 in_miss=257331 in_hit=1032448 out=86693 ≈¥1.724(标准价, 低谷约半)
[680/8987] ok=680 rej=0 flagged=77 calls=698 in_miss=261016 in_hit=1049344 out=88059 ≈¥1.751(标准价, 低谷约半)
[690/8987] ok=690 rej=0 flagged=77 calls=708 in_miss=264387 in_hit=1064704 out=89219 ≈¥1.775(标准价, 低谷约半)
[700/8987] ok=700 rej=0 flagged=80 calls=718 in_miss=267976 in_hit=1080064 out=90512 ≈¥1.800(标准价, 低谷约半)
[710/8987] ok=710 rej=0 flagged=80 calls=729 in_miss=272105 in_hit=1096960 out=92063 ≈¥1.829(标准价, 低谷约半)
[720/8987] ok=720 rej=0 flagged=82 calls=739 in_miss=275415 in_hit=1112320 out=93422 ≈¥1.854(标准价, 低谷约半)
